lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
4703.06,Cs,2.0,NIST,,120bl,4703.0511,0.22,0.0003,0.01
4704.7428,Cs,2.0,NIST,,49,4704.7444,0.0016,0.0004,-0.0016
4713.11,Cs,2.0,NIST,,340,4713.1062,0.002,0.0004,0.0038
4723.0629,Cs,2.0,NIST,,4100,4723.0613,0.0006,0.0004,0.0016
4729.6924,Cs,2.0,NIST,,84,4729.6909,0.0017,0.0004,0.0015
4730.98,Cs,2.0,NIST,,84bl,4730.985,0.22,0.0003,0.0
4732.9856,Cs,2.0,NIST,,150000,4732.9855,0.0003,0.0003,0.0001
4734.479,Cs,2.0,NIST,,160,4734.48,0.005,0.0003,-0.001
4739.653,Cs,2.0,NIST,,2100,4739.6533,0.004,0.0003,0.0
4741.233,Cs,2.0,NIST,,49,4741.233,0.002,0.003,0.0
4745.4829,Cs,2.0,NIST,,370,4745.483,0.0014,0.0003,-0.0001
4749.137,Cs,2.0,NIST,,370,4749.1362,0.003,0.0003,0.001
4757.631,Cs,2.0,NIST,,2400,4757.6287,0.003,0.0005,0.002
4763.636,Cs,2.0,NIST,,700000,4763.6362,0.0005,0.0003,-0.0002
4764.06,Cs,2.0,NIST,,170bl,4764.066,0.23,0.0004,-0.01
4767.6496,Cs,2.0,NIST,,250,4767.6563,0.002,0.0009,-0.0067
4775.9892,Cs,2.0,NIST,,320,4775.9887,0.0011,0.0006,0.0005
4776.448,Cs,2.0,NIST,,140,4776.4611,0.002,0.0016,-0.013
4786.3781,Cs,2.0,NIST,,190000,4786.3782,0.0004,0.0003,-0.0001
4791.652,Cs,2.0,NIST,,69,4791.6552,0.004,0.0003,-0.003
4793.508,Cs,2.0,NIST,,65,4793.5068,0.005,0.0004,0.001
4793.87,Cs,2.0,NIST,,43,4793.871,0.005,0.003,-0.001
4794.77,Cs,2.0,NIST,,25,4794.7648,0.003,0.0003,0.005
4800.8508,Cs,2.0,NIST,,89,4800.8526,0.0011,0.0004,-0.0018
4804.5369,Cs,2.0,NIST,,1400,4804.5374,0.001,0.0003,-0.0005
4813.1064,Cs,2.0,NIST,,330,4813.1076,0.0013,0.0004,-0.0012
4813.739,Cs,2.0,NIST,,49,4813.7366,0.002,0.0004,0.0024
4815.155,Cs,2.0,NIST,,84,4815.1569,0.003,0.0003,-0.002
4820.6228,Cs,2.0,NIST,,39,4820.6239,0.0015,0.0004,-0.0011
4828.1861,Cs,2.0,NIST,,1000,4828.1863,0.0012,0.0004,-0.0002
4830.1865,Cs,2.0,NIST,,2500000,4830.1864,0.0005,0.0004,0.0001
4848.712,Cs,2.0,NIST,,52,4848.7105,0.003,0.0004,0.001
4870.0396,Cs,2.0,NIST,,1900000,4870.0392,0.0005,0.0003,0.0004
4876.22607421875,Cs,,4MOST,12.493332862854004,,,,,
4876.787,Cs,2.0,NIST,,88,4876.7846,0.002,0.0014,0.0024
4880.0507,Cs,2.0,NIST,,490000,4880.0516,0.0012,0.0003,-0.0009
4882.863,Cs,2.0,NIST,,75,4882.867,0.003,0.0006,-0.004
4884.9449,Cs,2.0,NIST,,330,4884.9443,0.0017,0.0004,0.0006
4887.8148,Cs,2.0,NIST,,240,4887.8164,0.0017,0.0003,-0.0016
4890.7128,Cs,2.0,NIST,,3200,4890.7121,0.0005,0.0003,0.0007
4892.686,Cs,2.0,NIST,,260,4892.6869,0.003,0.0003,-0.001
4894.3771,Cs,2.0,NIST,,270,4894.3796,0.0013,0.0004,-0.0025
4895.1382,Cs,2.0,NIST,,6500,4895.1368,0.0006,0.0003,0.0014
4895.856,Cs,2.0,NIST,,84,4895.8557,0.004,0.0003,0.0
4898.5587,Cs,2.0,NIST,,2300,4898.5597,0.0015,0.0003,-0.001
4907.1183,Cs,2.0,NIST,,14,4907.1174,0.0019,0.0004,0.0009
4909.617,Cs,2.0,NIST,,11,4909.6127,0.003,0.0004,0.004
4914.2382,Cs,2.0,NIST,,2800,4914.2328,0.0018,0.0004,0.0054
4917.7575,Cs,2.0,NIST,,280,4917.7535,0.0011,0.0004,0.004
4920.2509765625,Cs,,4MOST,12.77748680114746,,,,,
4922.7909,Cs,2.0,NIST,,180,4922.7919,0.0011,0.0004,-0.001
4924.114,Cs,2.0,NIST,,22,4924.1187,0.004,0.0003,-0.005
4925.7001,Cs,2.0,NIST,,1700,4925.6986,0.0013,0.0003,0.0015
4929.0584,Cs,2.0,NIST,,2600,4929.0612,0.0005,0.0005,-0.0028
4930.8112,Cs,2.0,NIST,,730,4930.8096,0.0019,0.0003,0.0016
4933.880859375,Cs,,4MOST,15.049346923828123,,,,,
4938.201,Cs,2.0,NIST,,110,4938.2026,0.002,0.0004,-0.0016
4942.9435,Cs,2.0,NIST,,3400,4942.9412,0.0005,0.0004,0.0023
4946.651,Cs,2.0,NIST,,390,4946.6433,0.002,0.0006,0.0077
4952.8526,Cs,2.0,NIST,,3700000,4952.8523,0.0005,0.0004,0.0003
4954.5774,Cs,2.0,NIST,,11000,4954.5788,0.0005,0.0003,-0.0014
4961.274,Cs,2.0,NIST,,370,4961.273,0.0014,0.0003,0.001
4965.409,Cs,2.0,NIST,,190,4965.4097,0.002,0.0003,-0.0007
4965.616,Cs,2.0,NIST,,120,4965.6179,0.002,0.0003,-0.0019
4972.5965,Cs,2.0,NIST,,820000,4972.5963,0.0004,0.0003,0.0002
4973.977,Cs,2.0,NIST,,200,4973.9786,0.004,0.0004,-0.002
4980.569,Cs,2.0,NIST,,660,4980.5712,0.002,0.0004,-0.0022
4981.6242,Cs,2.0,NIST,,26000,4981.6234,0.0004,0.0004,0.0008
4984.719,Cs,2.0,NIST,,160,4984.7199,0.002,0.0004,-0.0009
4989.777,Cs,2.0,NIST,,82,4989.7848,0.004,0.0006,-0.008
4991.1314,Cs,2.0,NIST,,1600,4991.1292,0.002,0.0004,0.0022
4998.0855,Cs,2.0,NIST,,110,4998.0862,0.0014,0.0003,-0.0007
5000.72998046875,Cs,,4MOST,13.902213096618652,,,,,
