element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,4508.97,,4509.02+,-0.05,0a,,,,
Xe,2,4521.86,,4521.85+,0.01,100h,,,,
Xe,2,4524.21,,4524.21+,0.00,200,,,,
Xe,1,4524.6805,0.0005,4524.681+,-0.001,,4.6e+05,C+,,
Xe,2,4532.49,,4532.50+,-0.01,200,,,,
Xe,2,4535.09,,4535.05+,0.04,1h,,,,
Xe,2,4536.92,,4536.87+,0.05,80H*,,,,
Xe,2,4536.92,,4537.01+,-0.09,80H*,,,,
Xe,2,4540.89,,4540.86+,0.03,400h,,,,
Xe,1,4543.99,0.2,4543.63+,0.36,6,,,,
Xe,2,4545.23,,4545.22+,0.01,400H,,,,
Xe,2,4550.79,,4550.78+,0.01,10H,,,,
Xe,2,4550.91,,4550.95+,-0.04,2bl,,,,
Xe,2,4555.94,,4555.88+,0.06,200H,,,,
Xe,2,4563.00,,4563.00+, 0.00,2H,,,,
Xe,2,4567.91,,4567.96+,-0.05,,,,,
Xe,2,4571.85,,4571.84+,0.01,30Hd,,,,
Xe,2,4577.06,,4577.11+,-0.05,200H,,,,
Xe,2,4580.70,,4580.69+,0.01,80Hl,,,,
Xe,1,4582.7472,0.0005,4582.747+, 0.000,,1.3e+06,C,,
Xe,2,4585.48,,4585.47+,0.01,500H,,,,
Xe,2,4591.80,,4591.76+,0.04,1,,,,
Xe,2,4592.05,,4592.06+,-0.01,300H,,,,
Xe,2,4593.70,,4593.70+,0.00,6,,,,
Xe,2,4596.30,,4596.39+,-0.09,1,,,,
Xe,2,4603.03,,4603.04+,-0.01,600h,8.2e+07,,,
Xe,1,4611.8882,0.0005,4611.890+,-0.002,100,3.0e+04,D,,
Xe,2,4615.06,,4615.10+,-0.04,100h,,,,
Xe,2,4615.50,,4615.45+,0.05,200*,,,,
Xe,2,4615.50,,4615.50+,0.00,200*,,,,
Xe,2,4617.50,,4617.45+,0.05,90hl,,,,
