element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Ar,2,3702.005,0.006,3702.00145,0.00005,0.004,2,,,,
Ar,2,3703.550,0.006,3703.550,0.005,0.000,1,,,,
Ar,2,3706.9302,0.0003,3706.92967,0.00009,0.0005,7,2.e+05,C,,
Ar,2,3709.9085,0.0006,3709.90842,0.00005,0.0001,11,4.7e+06,B,,
Ar,2,3713.019,0.006,3713.01505,0.00005,0.004,2,,,,
Ar,2,3714.7332,0.0004,3714.73315,0.00006,0.0000,14,2.e+05,D,,
Ar,2,3717.1721,0.0015,3717.17101,0.00006,0.0011,6,5.2e+06,B,,
Ar,2,3718.2061,0.0001,3718.20606,0.00006,0.00004,93,2.e+08,D,,
Ar,2,3720.4258,0.0011,3720.42586,0.00005,-0.0001,12,1.7e+07,D,,
Ar,2,3724.5156,0.0005,3724.51602,0.00006,-0.0004,14,3.4e+07,D,,
Ar,2,3729.3082,0.0001,3729.30810,0.00006,0.00010,234,4.80e+07,B,,
Ar,2,3733.37,0.04,3733.35452,0.00006,0.02,1hl,,,,
Ar,2,3735.4880,0.0017,3735.48761,0.00006,0.0004,4,3.e+05,C+,,
Ar,2,3737.8889,0.0001,3737.88890,0.00005,0.00000,126,2.3e+08,D,,
Ar,2,3744.274,0.006,3744.27089,0.00018,0.003,1,,,,
Ar,2,3746.4469,0.0001,3746.44703,0.00005,-0.00013,275,,,,
Ar,2,3746.9130,0.0010,3746.91300,0.00005,0.0000,7,2.1e+06,B,,
Ar,2,3750.4801,0.0005,3750.47947,0.00009,0.0006,13,1.e+05,D,,
Ar,2,3751.047,0.006,3751.05220,0.00006,-0.005,2,,,,
Ar,2,3751.330,0.006,3751.3259,0.0003,0.004,1,,,,
Ar,2,3752.856,0.006,3752.85328,0.00005,0.003,0.5,,,,
Ar,2,3753.5172,0.0003,3753.51727,0.00006,-0.0001,26,,,,
Ar,2,3754.0493,0.0008,3754.04927,0.00010,0.0000,11,,,,
Ar,2,3756.6701,0.0020,3756.66900,0.00005,0.0011,4,,,,
Ar,2,3763.111,0.006,3763.11028,0.00005,0.001,2,,,,
Ar,2,3763.5041,0.0005,3763.50501,0.00006,-0.0009,17,1.78e+07,B,,
Ar,2,3765.2697,0.0001,3765.26969,0.00005,0.00001,186,9.8e+07,D,,
Ar,2,3766.1182,0.0001,3766.11839,0.00006,-0.00019,91,7.4e+06,B,,
Ar,1,3770.369,,3770.3689,,0.000,20,7.0e+04,D,,
Ar,2,3770.5194,0.0004,3770.51925,0.00006,0.0002,33,4.1e+07,D,,
Ar,2,3774.522,0.006,3774.51913,0.00005,0.003,4,,,,
Ar,2,3777.5310,0.0008,3777.53110,0.00006,-0.0001,5,1.1e+06,D,,
Ar,2,3780.8394,0.0001,3780.83953,0.00006,-0.00013,81,7.7e+07,B,,
Ar,2,3786.3819,0.0004,3786.38198,0.00006,-0.0001,20,1.5e+06,B,,
Ar,2,3793.226,0.006,3793.22798,0.00006,-0.002,1,,,,
Ar,2,3796.5931,0.0006,3796.59302,0.00006,0.0001,13,2.5e+07,D,,
Ar,2,3799.3811,0.0006,3799.38187,0.00006,-0.0008,12,1.7e+07,C,,
Ar,2,3803.1720,0.0001,3803.17205,0.00006,-0.00005,69,1.5e+08,D,,
Ar,2,3808.5745,0.0006,3808.57439,0.00006,0.0001,14,1.0e+06,C,,
Ar,2,3809.4558,0.0002,3809.45576,0.00005,0.00004,91,4.4e+07,D,,
Ar,2,3811.212,0.006,3811.21124,0.00006,0.001,2,,,,
Ar,2,3817.380,0.006,3817.38108,0.00018,-0.001,1h,,,,
Ar,2,3819.0150,0.0009,3819.01539,0.00006,-0.0004,8,3.6e+05,D,,
Ar,2,3823.254,0.006,3823.25375,0.00005,0.000,3,,,,
Ar,2,3825.6723,0.0004,3825.67243,0.00006,-0.0001,19,7.6e+07,D,,
Ar,2,3826.8067,0.0003,3826.80692,0.00006,-0.0002,30,2.81e+07,B,,
Ar,2,3830.165,0.006,3830.16452,0.00005,0.000,1,,,,
Ar,2,3830.3951,0.0012,3830.39372,0.00006,0.0014,6,4.e+05,D,,
Ar,2,3830.5209,0.0011,3830.52004,0.00009,0.0009,7,,,,
Ar,1,3834.679,,3834.6784,,0.001,7,7.5e+05,D,,
Ar,2,3838.239,0.006,3838.239,0.004,0.000,1,,,,
Ar,2,3841.5186,0.0005,3841.51838,0.00011,0.0002,18,2.69e+07,B,,
Ar,2,3844.5622,0.0010,3844.56216,0.00004,0.0000,6,3.e+05,E,,
Ar,2,3844.7306,0.0017,3844.73084,0.00006,-0.0002,5,4.8e+06,B,,
Ar,2,3845.4049,0.0002,3845.40506,0.00006,-0.00016,32,1.6e+06,C,,
Ar,2,3850.5808,0.0001,3850.58079,0.00005,0.00001,263,3.87e+07,B,,
Ar,2,3855.1603,0.0010,3855.16032,0.00006, 0.0000,6,1.5e+06,D,,
Ar,2,3856.1374,0.0017,3856.13749,0.00009,-0.0001,6,,,,
Ar,2,3861.348,0.006,3861.34778,0.00008,0.000,3,,,,
Ar,2,3868.5281,0.0001,3868.52819,0.00006,-0.00009,166,1.4e+08,C,,
